machine_line	project	mode	run_hours	label
1	hadoop-common	ECFuzz	1	orig-hcommon
2	hadoop-hdfs	ECFuzz	1	orig-hdfs
3	hbase	ECFuzz	1	orig-hbase
4	zookeeper	ECFuzz	1	orig-zk
5	alluxio	ECFuzz	1	orig-alluxio
6	hadoop-common	ECFuzzParamTracking	1	tracking-hcommon
7	hadoop-hdfs	ECFuzzParamTracking	1	tracking-hdfs
8	hbase	ECFuzzParamTracking	1	tracking-hbase
9	zookeeper	ECFuzzParamTracking	1	tracking-zk
10	alluxio	ECFuzzParamTracking	1	tracking-alluxio
